weight,word
60,lie
44,hate
40,vice
36,wrong
34,bad
30,hard
29,fake
28,joke
28,stupid
26,liar
24,weird
22,lying
22,lost
21,horrible
20,idiot
20,poor
20,issue
19,garbage
18,problem
17,terrible
17,evil
17,felon
16,puppet
16,biased
16,trash
16,racist
15,disgusting
15,fool
15,hell
14,sad
14,illegal
14,worst
14,criminal
14,funny
14,crazy
13,attack
12,lied
12,dumb
12,shame
12,dictator
11,cry
11,corrupt
11,lose
11,suck
11,shit
11,hypocrite
11,propaganda
11,killed
10,creepy
10,disaster
10,shady
9,fascist
9,fall
9,sorry
9,lack
9,ashamed
9,rhetoric
9,afraid
9,corruption
9,bias
9,nasty
9,crime
9,crap
9,mistake
8,doubt
8,loose
8,mad
8,weak
8,creep
8,blame
8,interrupt
8,dangerous
8,mess
8,loser
8,worse
7,complex
7,ridiculous
7,dead
7,disgrace
7,failed
7,false
7,rude
7,fear
7,fraud
7,bully
7,broke
6,scared
6,ignorant
6,enemy
6,insane
6,blah
6,poverty
6,danger
6,boring
6,pathetic
6,unbelievable
6,conservative
6,devil
6,sick
